Station,Code,Latitude,Longitude
KEY WEST,722010,24.6,81.8
MIAMI,722020,25.8,80.3
WEST PALM BEACH,722030,26.7,80.1
JACKSONVILLE,722060,30.5,81.7
CHARLESTON,722080,32.9,80
TAMPA,722110,28,82.5
ATLANTA,722190,33.7,84.4
MONTGOMERY/DANNE,722260,32.3,86.4
NEW ORLEANS,722310,30,90.3
MERIDIAN,722340,32.3,88.8
SHREVEPORT,722480,32.5,93.8
BROWNSVILLE,722500,25.9,97.4
SAN ANTONIO,722530,29.5,98.5
DEL RIO INT,722610,29.4,100.9
SAN ANGELO/MATHI,722630,31.4,100.5
ABILENE,722660,32.4,99.7
EL PASO,722700,31.8,106.4
TUCSON INTL,722740,32.1,110.9
PHOENIX,722780,33.4,112
SAN DIEGO,722900,32.7,117.2
LOS ANGELES,722950,34.1,118.2
CAPE HATTERAS,723040,35.3,75.6
RALEIGH,723060,35.9,78.8
GREENVILLE,723120,34.9,82.2
ASHEVILLE,723150,35.4,82.6
CHATTANOOGA,723240,35,85.2
NASHVILLE,723270,36.1,86.7
AR LITTLE ROCK/ADAM,723400,34.7,92.2
FORT SMITH,723440,35.3,94.4
OKLAHOMA CITY,723530,35.4,97.6
CLAYTON,723600,36.5,103.1
ALBUQUERQUE,723650,35.1,106.6
LAS VEGAS,723860,36.1,115.2
FRESNO,723890,36.8,119.7
RICHMOND,724010,37.5,77.4
VA WASHINGTON/NATIO,724030,38.9,77
COLUMBUS,724280,40,82.9
DAYTON,724290,39.9,84.2
EVANSVILLE,724320,38.1,87.5
SAINT LOUIS,724340,38.8,90.4
IN INDIANAPOLIS/MUN,724380,39.7,86.3
COLUMBIA,724450,38.8,92.2
DODGE CITY,724510,37.8,100
CONCORDIA,724580,39.6,97.7
CO GRAND JUNCTION/W,724760,39.1,108.6
SACRAMENTO,724830,38.5,121.5
ELY,724860,39.3,114.9
RENO,724880,39.5,119.8
SAN FRANCISCO,724940,37.6,122.4
NEW YORK/LA GUARDIA,725030,40.8,73.9
PROVIDENCE WSO AP,725070,41.4,71.3
BOSTON,725090,42.4,71
SYRACUSE/HANC,725190,43.1,76.1
PITTSBURGH,725200,40.5,80.2
BUFFALO,725280,42.9,78.7
PEORIA,725320,40.7,89.7
IN SOUTH BEND/ST JO,725350,41.7,86.3
DES MOINES,725460,41.5,93.7
NE NORFOLK/KARL STE,725560,42,97.4
NORTH PLATTE,725620,41.1,100.7
WY CASPER/NATRONA C,725690,42.9,106.5
SALT LAKE CITY,725720,40.8,112
LANDER,725760,42.8,108.7
ID POCATELLO/MUNI,725780,42.9,112.6
WINNEMUCCA,725830,40.9,117.8
EUREKA,725940,40.8,124.2
MEDFORD,725970,42.4,122.9
NH MOUNT WASHINGTON,726130,44.3,71.3
BURLINGTON,726170,44.5,73.2
MADISON,726410,43.1,89.3
HURON,726540,44.4,98.2
MINNEAPOLIS/ST. PAUL,726580,44.9,93.2
ABERDEEN/REG,726590,45.5,98.4
RAPID CITY,726620,44.1,103.1
SHERIDAN,726660,44.8,107
BOISE,726810,43.6,116.2
PENDLETON,726880,45.7,118.8
PORTLAND,726980,45.6,122.6
CARIBOU,727120,46.9,68
MARQUETTE,727430,46.6,87.4
DULUTH,727450,46.8,92.2
INTERNATIONAL FALLS,727470,48.6,93.4
BISMARCK,727640,46.8,100.8
HELENA,727720,46.6,112
SPOKANE,727850,47.6,117.5
OLYMPIA,727920,47.1,122.9
QUILLAYUTE,727970,48,124.6
BLUE HILL,744920,42.2,71.1