stations,PC1,PC2,country_mean,country_mean_scaled,country_sum,country_sum_scaled,country_change,country_change_scaled,cluster
KEY WEST,-59.289727212782566,-0.4357421208115561,24.874999999999996,0.8606365159128977,596.9999999999999,0.8606365159128977,-7.800000000000001,inf,3
MIAMI,-58.552757868826774,-0.09263063465297375,24.708333333333332,0.8539363484087102,593.0,0.8539363484087104,-7.100000000000001,inf,3
WEST PALM BEACH,-52.89868502640219,0.2730072703541928,23.650000000000002,0.811390284757119,567.6,0.811390284757119,-8.100000000000001,inf,3
JACKSONVILLE,-32.08170850425408,-3.6610643406028847,20.05416666666667,0.6668341708542715,481.30000000000007,0.6668341708542715,-15.599999999999998,inf,3
CHARLESTON,-26.09623839091535,-5.181808118506034,19.045833333333334,0.6262981574539365,457.1,0.6262981574539365,-17.9,inf,1
TAMPA,-47.610918405364586,-2.6359971311859254,22.854166666666668,0.7793969849246232,548.5,0.7793969849246232,-11.099999999999998,inf,3
ATLANTA,-16.270034942415627,-5.265210858062182,17.250000000000004,0.5541038525963151,414.00000000000006,0.5541038525963151,-20.9,inf,1
MONTGOMERY/DANNE,-24.969899348268402,-6.443470009204999,18.925,0.6214405360134004,454.20000000000005,0.6214405360134004,-20.6,inf,1
NEW ORLEANS,-37.68665452796302,-5.798509996058299,21.241666666666664,0.7145728643216079,509.79999999999995,0.714572864321608,-17.1,inf,3
MERIDIAN,-21.307262955883395,-4.798699450923687,18.141666666666666,0.5899497487437186,435.4,0.5899497487437186,-20.6,inf,1
SHREVEPORT,-24.716343851343787,-7.3061684914945655,18.970833333333335,0.6232830820770521,455.3,0.6232830820770521,-21.5,inf,1
BROWNSVILLE,-51.564156716368245,-3.640563391662001,23.662499999999994,0.8118927973199328,567.8999999999999,0.8118927973199328,-11.900000000000002,inf,3
SAN ANTONIO,-40.09596239103501,-9.416625304068846,21.92083333333333,0.7418760469011725,526.0999999999999,0.7418760469011725,-17.9,inf,3
DEL RIO INT,-16.797015675194825,29.94218876761626,15.0,0.4636515912897823,360.0,0.4636515912897823,0.0,inf,0
SAN ANGELO/MATHI,-27.235598001254463,-8.61865640842172,19.483333333333334,0.6438860971524288,467.6,0.643886097152429,-21.200000000000003,inf,1
ABILENE,-23.49373913966009,-8.033175461377933,18.779166666666665,0.6155778894472362,450.69999999999993,0.6155778894472361,-21.700000000000003,inf,1
EL PASO,-25.8117947858586,-8.226933910993399,19.19166666666666,0.6321608040201003,460.59999999999985,0.6321608040201004,-19.4,inf,1
TUCSON INTL,-36.856938511749796,-11.310296421523516,21.5,0.7249581239530989,516.0,0.7249581239530989,-18.8,inf,3
PHOENIX,-48.276203550559664,-19.873102507972842,24.195833333333336,0.8333333333333335,580.7,0.8333333333333335,-22.4,inf,3
SAN DIEGO,-25.203634548848633,13.469935866816005,17.73333333333333,0.5735343383584589,425.5999999999999,0.5735343383584588,-8.499999999999998,inf,0
LOS ANGELES,-23.854466264657606,15.370390849546695,17.354166666666668,0.5582914572864323,416.5,0.5582914572864321,-7.800000000000001,inf,0
CAPE HATTERAS,-21.13066498639792,21.324835877699226,16.525000000000002,0.5249581239530989,396.6,0.5249581239530989,-12.0,inf,0
RALEIGH,-13.537357765009133,-6.038821860868932,16.787499999999998,0.5355108877721942,402.9,0.5355108877721942,-20.8,inf,1
GREENVILLE,-13.50989555552287,-5.7455319436103,16.775000000000002,0.5350083752093804,402.6,0.5350083752093803,-21.6,inf,1
ASHEVILLE,0.5188549649997177,0.9091710170365355,13.74583333333333,0.41323283082077045,329.8999999999999,0.41323283082077045,-20.3,inf,2
CHATTANOOGA,-12.378803895362044,-6.941099080542378,16.65833333333333,0.5303182579564489,399.79999999999995,0.5303182579564488,-22.1,inf,1
NASHVILLE,-7.402880809788939,-7.043537117767529,15.766666666666667,0.4944723618090453,378.40000000000003,0.4944723618090454,-23.599999999999998,inf,1
AR LITTLE ROCK/ADAM,-18.260873000051095,28.425161078583795,15.416666666666666,0.4804020100502513,370.0,0.4804020100502513,0.0,inf,0
FORT SMITH,-12.452079122828714,-8.480538574338295,16.808333333333334,0.5363484087102178,403.4,0.5363484087102177,-24.5,inf,1
OKLAHOMA CITY,-11.008769627896363,-9.097779368226995,16.587500000000002,0.5274706867671693,398.1,0.5274706867671692,-24.1,inf,1
CLAYTON,-11.546084089355057,28.11458388936532,14.216666666666667,0.43216080402010054,341.2,0.4321608040201006,0.0,inf,0
ALBUQUERQUE,-5.110475869950925,-4.698379480812102,15.179166666666667,0.470854271356784,364.3,0.47085427135678404,-23.8,inf,1
LAS VEGAS,-33.3857480840724,-19.463237258669082,21.45,0.7229480737018426,514.8,0.7229480737018426,-26.4,inf,3
FRESNO,-23.231621262841585,-7.617853795571203,18.7875,0.6159128978224457,450.90000000000003,0.6159128978224457,-20.4,inf,1
RICHMOND,-7.534683850867289,-6.0565636353326235,15.7125,0.49229480737018433,377.1,0.49229480737018433,-21.700000000000003,inf,1
VA WASHINGTON/NATIO,-16.797015675194825,29.94218876761626,15.0,0.4636515912897823,360.0,0.4636515912897823,0.0,inf,0
COLUMBUS,9.767442200858307,-5.985034705737879,12.554166666666665,0.36532663316582914,301.29999999999995,0.3653266331658291,-24.3,inf,2
DAYTON,14.301495491284813,-4.888121084158716,11.641666666666666,0.32864321608040203,279.4,0.328643216080402,-25.0,inf,2
EVANSVILLE,2.0322521296359506,-7.629103392833083,14.075000000000001,0.42646566164154115,337.8,0.4264656616415411,-25.4,inf,2
SAINT LOUIS,2.62315789398466,-9.079499328214805,14.0875,0.4269681742043552,338.1,0.4269681742043552,-25.7,inf,2
IN INDIANAPOLIS/MUN,10.41200158225204,-6.783343406708396,12.495833333333332,0.36298157453936347,299.9,0.36298157453936347,-25.8,inf,2
COLUMBIA,8.19187349292999,-5.454157788323785,12.816666666666665,0.3758793969849246,307.59999999999997,0.3758793969849246,-25.2,inf,2
DODGE CITY,3.6927562371765994,-6.192527620017938,13.708333333333336,0.4117252931323285,329.00000000000006,0.4117252931323285,-26.4,inf,2
CONCORDIA,11.240759027369897,-6.753277920277558,12.354166666666666,0.357286432160804,296.5,0.3572864321608041,-28.400000000000002,inf,2
CO GRAND JUNCTION/W,11.986969828351794,-8.962974152167263,12.370833333333332,0.35795644891122275,296.9,0.3579564489112228,-32.699999999999996,inf,2
SACRAMENTO,-15.616967312133818,1.7981056265695534,16.745833333333334,0.5338358458961475,401.90000000000003,0.5338358458961476,-16.3,inf,1
ELY,29.32367621239649,6.257705747586709,8.179166666666665,0.1894472361809045,196.29999999999998,0.1894472361809045,-27.6,inf,5
RENO,3.581358014408024,-2.000959585911692,13.466666666666667,0.40201005025125636,323.2,0.4020100502512563,-25.2,inf,2
SAN FRANCISCO,-10.59757272413321,18.768535823124818,14.670833333333333,0.45041876046901175,352.09999999999997,0.45041876046901175,-8.000000000000002,inf,0
NEW YORK/LA GUARDIA,3.342039914212592,-4.834367493793715,13.679166666666667,0.41055276381909556,328.3,0.41055276381909556,-23.6,inf,2
PROVIDENCE WSO AP,13.08609223420243,-1.2368973632118134,11.637499999999998,0.3284757118927973,279.29999999999995,0.3284757118927973,-24.0,inf,2
BOSTON,13.27060283337865,-0.6836348750501179,11.575000000000003,0.32596314907872714,277.80000000000007,0.32596314907872714,-23.2,inf,2
SYRACUSE/HANC,22.764522568914934,-1.4840735257589865,9.870833333333332,0.2574539363484087,236.89999999999998,0.2574539363484087,-23.2,inf,5
PITTSBURGH,14.673304818326946,-2.3522159417819273,11.404166666666669,0.3190954773869348,273.70000000000005,0.3190954773869348,-22.8,inf,2
BUFFALO,22.55231645520783,-0.8959208310486441,9.891666666666667,0.2582914572864322,237.4,0.2582914572864322,-23.2,inf,5
PEORIA,16.956066526349773,-7.789818904780548,11.379166666666668,0.3180904522613066,273.1,0.3180904522613066,-27.5,inf,2
IN SOUTH BEND/ST JO,21.835268456835937,-5.000671287355569,10.283333333333333,0.27403685092127306,246.79999999999998,0.274036850921273,-26.799999999999997,inf,5
DES MOINES,20.868092563588316,-10.002452583776556,10.816666666666668,0.29547738693467346,259.6,0.29547738693467346,-31.1,inf,5
NE NORFOLK/KARL STE,24.484635608053544,-6.667077769775493,9.937499999999998,0.2601340033500837,238.49999999999997,0.26013400335008374,-31.9,inf,5
NORTH PLATTE,22.11463660576303,-1.4026279920078424,10.016666666666666,0.2633165829145729,240.39999999999998,0.2633165829145728,-29.299999999999997,inf,5
WY CASPER/NATRONA C,30.057262101403552,5.013582999253823,8.154166666666667,0.18844221105527642,195.7,0.18844221105527637,-28.299999999999997,inf,5
SALT LAKE CITY,11.25227976648804,-6.598204834371999,12.375,0.3581239530988275,297.0,0.3581239530988275,-32.0,inf,2
LANDER,29.13811459268952,2.2381238379789834,8.508333333333335,0.20268006700167512,204.20000000000002,0.20268006700167507,-32.2,inf,5
ID POCATELLO/MUNI,27.28685542554622,2.246050647342093,8.829166666666667,0.21557788944723624,211.9,0.21557788944723622,-28.4,inf,5
WINNEMUCCA,16.14455749813359,2.3191476753096465,10.866666666666667,0.2974874371859297,260.8,0.2974874371859297,-25.599999999999998,inf,2
EUREKA,7.2193483930146085,27.221817041235433,10.829166666666666,0.29597989949748743,259.9,0.29597989949748743,-7.1,inf,0
MEDFORD,2.244565623400865,2.071368278261942,13.412500000000001,0.39983249581239544,321.90000000000003,0.39983249581239544,-21.1,inf,2
NH MOUNT WASHINGTON,-3.5057132263718027,25.525139114149873,12.929166666666665,0.38040201005025126,310.29999999999995,0.3804020100502512,0.0,inf,0
BURLINGTON,28.80212050566317,-2.5892509940741424,8.845833333333333,0.21624790619765497,212.29999999999998,0.21624790619765494,-25.5,inf,5
MADISON,31.410091655091712,-6.421726470715615,8.65,0.20837520938023454,207.6,0.20837520938023452,-30.200000000000003,inf,5
HURON,34.6390599268012,-7.360427599903651,8.141666666666666,0.1879396984924623,195.39999999999998,0.18793969849246228,-33.1,inf,5
MINNEAPOLIS/ST. PAUL,33.56091786835121,-11.562337915187666,8.624999999999998,0.20737018425460632,206.99999999999997,0.20737018425460632,-34.6,,5
ABERDEEN/REG,-16.797015675194825,29.94218876761626,15.0,0.4636515912897823,360.0,0.4636515912897823,0.0,inf,0
RAPID CITY,29.067245188013125,1.7296577862855456,8.566666666666666,0.2050251256281407,205.6,0.2050251256281407,-27.7,inf,5
SHERIDAN,30.427234192356753,4.391764630446674,8.1625,0.18877721943048578,195.9,0.18877721943048578,-27.400000000000002,inf,5
BOISE,9.438197806687947,-4.082181067893361,12.5375,0.3646566164154104,300.9,0.36465661641541036,-27.2,inf,2
PENDLETON,11.341150528270749,2.5707185531442387,11.72916666666667,0.3321608040201007,281.50000000000006,0.3321608040201006,-22.5,inf,2
PORTLAND,2.2789976425436733,7.456606025841332,13.0625,0.3857621440536014,313.5,0.3857621440536014,-16.7,inf,2
CARIBOU,46.79846237781219,-1.4504540216414505,5.487500000000001,0.08123953098827473,131.70000000000002,0.08123953098827472,-30.299999999999997,inf,4
MARQUETTE,46.177634031562135,2.1305287868576595,5.383333333333333,0.07705192629815742,129.2,0.07705192629815742,-27.0,inf,4
DULUTH,49.16978637924756,-2.04915950288487,5.129166666666667,0.06683417085427137,123.10000000000001,0.06683417085427136,-30.2,inf,4
INTERNATIONAL FALLS,58.4398276956991,-2.391149403151989,3.4666666666666672,0.0,83.20000000000002,0.0,-31.9,inf,4
BISMARCK,42.60196060472898,-7.046080056390242,6.695833333333334,0.12981574539363486,160.70000000000002,0.12981574539363486,-33.6,inf,4
HELENA,26.31729542239253,2.4350033128108826,9.020833333333336,0.22328308207705205,216.50000000000006,0.22328308207705203,-28.6,inf,5
SPOKANE,22.879345483151543,1.227763716658713,9.7125,0.2510887772194305,233.10000000000002,0.25108877721943057,-25.5,inf,5
OLYMPIA,12.708400165686335,14.470149992450164,10.666666666666666,0.2894472361809045,256.0,0.28944723618090457,-14.900000000000002,inf,2
QUILLAYUTE,14.237317842588823,21.973232743903704,9.887500000000001,0.2581239530988275,237.3,0.2581239530988275,-10.5,inf,2
BLUE HILL,17.21575877477213,-0.006928399292118877,10.800000000000002,0.29480737018425474,259.20000000000005,0.29480737018425474,-24.5,inf,2
